+-----------------------------------------------------------------------------------+----+----------+
|name                                                                               |year|profit    |
|Cowboys & Aliens                                                                   |2011|11822325  |
|The Dilemma                                                                        |2011|-2887336  |
|Limitless                                                                          |2011|134849455 |
|I Spit on Your Grave                                                               |2010|-1427191  |
|No Strings Attached                                                                |2011|122780440 |
|The Lincoln Lawyer                                                                 |2011|45412898  |
|The Rite                                                                           |2011|59047633  |
|From Prada to Nada                                                                 |2011|2499907   |
|Country Strong                                                                     |2010|5529194   |
|Unknown                                                                            |2011|100786397 |
|Sanctum                                                                            |2011|78609310  |
|Gnomeo & Juliet                                                                    |2011|153712432 |
|Burke & Hare                                                                       |2010|-5650813  |
|Vanishing on 7th Street                                                            |2010|-8931318  |
|Paul                                                                               |2011|57552050  |
|Drive Angry                                                                        |2011|-21068599 |
|Rango                                                                              |2011|110724603 |
|Take Me Home Tonight                                                               |2011|-12071932 |
|The Adjustment Bureau                                                              |2011|77669379  |
|The Mechanic                                                                       |2011|11070807  |
|Hall Pass                                                                          |2011|47160734  |
|The Eagle                                                                          |2011|2122040   |
|I Am Number Four                                                                   |2011|94492830  |
|포화 속으로                                                                        |2010|10567660  |
|Battle: Los Angeles                                                                |2011|132466756 |
|Janky Promoters                                                                    |2009|-9990931  |
|Mars Needs Moms                                                                    |2011|-111007242|
|Чёрная Молния                                                                      |2009|6500000   |
|Just Go with It                                                                    |2011|134918407 |
|Red Riding Hood                                                                    |2011|47162162  |
|Big Mommas: Like Father Like Son                                                   |2011|51615414  |
|Super                                                                              |2010|-2175862  |
|Trolljegeren                                                                       |2010|659678    |
|Source Code                                                                        |2011|115332697 |
|Sucker Punch                                                                       |2011|7792502   |
|Chalet Girl                                                                        |2011|-6250543  |
|Pa Negre                                                                           |2010|-2229343  |
|Insidious                                                                          |2010|95509150  |
|Hobo with a Shotgun                                                                |2011|-2251547  |
|Win Win                                                                            |2011|-176788   |
|The Time That Remains                                                              |2009|-5746192  |
|Boy                                                                                |2010|40        |
|Diary of a Wimpy Kid: Rodrick Rules                                                |2011|51417394  |
|Henry's Crime                                                                      |2010|-11795060 |
|Hop                                                                                |2011|120953723 |
|十三人の刺客                                                                       |2010|11555141  |
|Hanna                                                                              |2011|33782078  |
|New Kids Turbo                                                                     |2010|7286756   |
|Svinalängorna                                                                      |2010|1800080   |
|Arthur                                                                             |2011|5735397   |
|Scream 4                                                                           |2011|57138686  |
|Rio                                                                                |2011|394635760 |
|La Princesse de Montpensier                                                        |2010|-7958879  |
|Melancholia                                                                        |2011|14417298  |
|Thor                                                                               |2011|299326618 |
|Atlas Shrugged Part I                                                              |2011|-10372625 |
|Benvenuti al sud                                                                   |2010|61584679  |
|Water for Elephants                                                                |2011|76156230  |
|Fast Five                                                                          |2011|501137675 |
|Der Räuber                                                                         |2010|-3691525  |
|Incendies                                                                          |2010|303838    |
|Soul Surfer                                                                        |2011|29088990  |
|Something Borrowed                                                                 |2011|24901913  |
|Bridesmaids                                                                        |2011|255883523 |
|Priest                                                                             |2011|18309131  |
|Eye of the Dolphin                                                                 |2007|-2428096  |
|The Beaver                                                                         |2011|-20029184 |
|Pirates of the Caribbean: On Stranger Tides                                        |2011|665713802 |
|Midnight in Paris                                                                  |2011|121119219 |
|The Tree of Life                                                                   |2011|22674226  |
|The Hangover Part II                                                               |2011|174455986 |
|The Virginity Hit                                                                  |2010|-1436294  |
|Pina                                                                               |2011|10306880  |
|The Roommate                                                                       |2011|24492759  |
|Trust                                                                              |2010|-9380000  |
|Stolen Lives                                                                       |2009|-1992694  |
|La doppia ora                                                                      |2009|393160    |
|Attack the Block                                                                   |2011|-10385849 |
|Kung Fu Panda 2                                                                    |2011|515692281 |
|X-Men: First Class                                                                 |2011|193624124 |
|The Other Woman                                                                    |2010|72000000  |
|Everything Must Go                                                                 |2010|-2385227  |
|Beginners                                                                          |2010|2132926   |
|Super 8                                                                            |2011|210095987 |
|Green Lantern                                                                      |2011|19851172  |
|Mr. Popper's Penguins                                                              |2011|132361754 |
|Bad Teacher                                                                        |2011|196197492 |
|Why Did I Get Married Too?                                                         |2010|40072596  |
|Transformers: Dark of the Moon                                                     |2011|928746996 |
|Larry Crowne                                                                       |2011|6160375   |
|Your Highness                                                                      |2011|-23778362 |
|Judy Moody and the Not Bummer Summer                                               |2011|-5833147  |
|Takers                                                                             |2010|37055695  |
|Zookeeper                                                                          |2011|89852759  |
|Horrible Bosses                                                                    |2011|82000000  |
|Cars 2                                                                             |2011|359852396 |
|The Ward                                                                           |2010|-9501026  |
|Delhi Belly                                                                        |2011|13945000  |
|Monte Carlo                                                                        |2011|-2575000  |
|Harry Potter and the Deathly Hallows: Part 2                                       |2011|1217000000|
|Drive                                                                              |2011|63054825  |
|Snow Flower and the Secret Fan                                                     |2011|1198226   |
|Captain America: The First Avenger                                                 |2011|230569774 |
|Crazy Stupid Love.                                                                 |2011|92851197  |
|One Day                                                                            |2011|44389433  |
|The Guard                                                                          |2011|13560274  |
|Winnie the Pooh                                                                    |2011|-15540000 |
|The Smurfs                                                                         |2011|453749323 |
|Dylan Dog: Dead of Night                                                           |2011|-15365938 |
|Friends with Benefits                                                              |2011|115483765 |
|Alpha and Omega                                                                    |2010|19300000  |
|Blitz                                                                              |2011|-15033073 |
|Our Idiot Brother                                                                  |2011|7273593   |
|Princess Kaiulani                                                                  |2010|-8228501  |
|West Is West                                                                       |2010|29375     |
|Rise of the Planet of the Apes                                                     |2011|389860185 |
|The Change-Up                                                                      |2011|23450437  |
|The Help                                                                           |2011|99272124  |
|30 Minutes or Less                                                                 |2011|12547440  |
|Glee: The Concert Movie                                                            |2011|9663238   |
|Final Destination 5                                                                |2011|110887643 |
|The Conspirator                                                                    |2010|-9521200  |
|A Very Harold & Kumar Christmas                                                    |2011|16387212  |
|Mine vaganti                                                                       |2010|1220215   |
|Spy Kids: All the Time in the World                                                |2011|58564310  |
|Don't Be Afraid of the Dark                                                        |2010|11993168  |
|Fright Night                                                                       |2011|7922237   |
|Another Earth                                                                      |2011|1676935   |
|Hesher                                                                             |2010|-6617054  |
|Stake Land                                                                         |2010|-616755   |
|The Debt                                                                           |2010|25636368  |
|Colombiana                                                                         |2011|20965854  |
|Freakonomics                                                                       |2010|-2896265  |
|La piel que habito                                                                 |2011|-7225146  |
|Conan the Barbarian                                                                |2011|-41204979 |
|Prom                                                                               |2011|2130000   |
|Red State                                                                          |2011|-2895318  |
|A Better Life                                                                      |2011|-8240748  |
|I Don't Know How She Does It                                                       |2011|6551495   |
|Shark Night                                                                        |2011|-17873542 |
|Contagion                                                                          |2011|77551594  |
|Straw Dogs                                                                         |2011|-14675559 |
|Moneyball                                                                          |2011|60206216  |
|Restless                                                                           |2011|-7836735  |
|The Avengers                                                                       |2012|1299557910|
|A Dangerous Method                                                                 |2011|12462041  |
|Warrior                                                                            |2011|-1942885  |
|The Ides of March                                                                  |2011|63493061  |
|Kill List                                                                          |2011|-328240   |
|Killer Elite                                                                       |2011|-8222894  |
|Badmaa$h Company                                                                   |2010|2250000   |
|Bellflower                                                                         |2011|84236     |
|50/50                                                                              |2011|31187783  |
|The Artist                                                                         |2011|118432856 |
|எந்திரன்                                                                           |2010|35600000  |
|Take Shelter                                                                       |2011|-1900686  |
|Road to Nowhere                                                                    |2011|-4972954  |
|The Music Never Stopped                                                            |2011|-3746101  |
|Real Steel                                                                         |2011|189268508 |
|Footloose                                                                          |2011|39543328  |
|The Thing                                                                          |2011|-6871330  |
|We Need to Talk About Kevin                                                        |2011|-961058   |
|The Three Musketeers                                                               |2011|57274484  |
|In Time                                                                            |2011|133930596 |
|Margaret                                                                           |2011|-13953505 |
|Carnage                                                                            |2011|2603069   |
|Margin Call                                                                        |2011|16004039  |
|Paranormal Activity 3                                                              |2011|200703818 |
|Johnny English Reborn                                                              |2011|115078586 |
|Abduction                                                                          |2011|47087155  |
|This Must Be the Place                                                             |2011|-13209021 |
|Shame                                                                              |2011|11193675  |
|What's Your Number?                                                                |2011|10426096  |
|Dream House                                                                        |2011|-11497660 |
|花木兰                                                                             |2009|1380561   |
|Machine Gun Preacher                                                               |2011|-27472096 |
|Anonymous                                                                          |2011|-14604913 |
|Tower Heist                                                                        |2011|77930623  |
|J. Edgar                                                                           |2011|49606030  |
