movie_id,year,rev_minus_cost
Star Trek: Insurrection,1998,48000000.0
The Prince of Egypt,1998,148613188.0
Rushmore,1998,8096053.0
Shakespeare in Love,1998,264317794.0
You've Got Mail,1998,185821495.0
The Thin Red Line,1998,46126565.0
The Faculty,1998,25283321.0
Patch Adams,1998,152292902.0
A Civil Action,1998,-13297099.0
Tea with Mussolini,1999,9001563.0
Affliction,1997,330054.0
Playing by Heart,1998,-16029922.0
Virus,1999,-60989310.0
She's All That,1999,93166989.0
Blood Guts Bullets and Octane,1998,6374.0
Payback,1999,71626121.0
Simply Irresistible,1999,-1601011.0
Blast from the Past,1999,5263020.0
Message in a Bottle,1999,38880016.0
My Favorite Martian,1999,-28149899.0
Jawbreaker,1999,76820.0
Office Space,1999,2827813.0
200 Cigarettes,1999,852450.0
8MM,1999,56618699.0
Analyze This,1999,96885658.0
The Corruptor,1999,-9843800.0
Cruel Intentions,1999,65402208.0
Lock Stock and Two Smoking Barrels,1998,2547569.0
The Deep End of the Ocean,1999,-9878900.0
The Rage: Carrie 2,1999,-3237295.0
Baby Geniuses,1999,24450736.0
Forces of Nature,1999,18888180.0
The King and I,1999,-13000000.0
The Mod Squad,1999,-36739950.0
The Matrix,1999,400517383.0
10 Things I Hate About You,1999,37478166.0
The Out-of-Towners,1999,-46000000.0
Following,1998,42482.0
Go,1999,21951622.0
Never Been Kissed,1999,59565230.0
Cookie's Fortune,1999,920544.0
Life,1999,-6654971.0
Abre los ojos,1997,-2531766.0
Lost & Found,1999,99.0
eXistenZ,1999,-12143288.0
Entrapment,1999,146404396.0
Idle Hands,1999,-20847770.0
The Mummy,1999,335885488.0
The Castle,1997,75114.0
Edge of Seventeen,1998,-629249.0
Star Wars: Episode I - The Phantom Menace,1999,809317558.0
Notting Hill,1999,321889678.0
The Thirteenth Floor,1999,2564088.0
Limbo,1999,-6002193.0
Austin Powers: The Spy Who Shagged Me,1999,277940086.0
The Red Violin,1998,-8504592.0
Tarzan,1999,298000000.0
The General's Daughter,1999,89705852.0
An Ideal Husband,1999,4535191.0
Lola rennt,1998,5737585.0
Big Daddy,1999,200601895.0
Le Dîner de cons,1998,66099508.0
Wild Wild West,1999,52104681.0
American Pie,1999,224483004.0
Muppets from Space,1999,-7709024.0
The Blair Witch Project,1999,247940000.0
Eyes Wide Shut,1999,97091208.0
Lake Placid,1999,29870414.0
The Wood,1999,19059640.0
